Nadi,Nadi International Airport,NAN
Suva,Nausori International Airport,SUV
Papeete,Faa'a International Airport,PPT
Hagåtña,Antonio B. Won Pat International Airport,GUM
Kiritimati,Cassidy International Airport,CXI
Tarawa,Bonriki International Airport,TRW
Kwajalein,Bucholz Army Airfield,KWA
Majuro,Marshall Islands International Airport,MAJ
Chuuk,Chuuk International Airport,TKK
Kosrae,Kosrae International Airport,KSA
Pohnpei,Pohnpei International Airport,PNI
Yap,Yap International Airport,YAP
Yaren,Nauru International Airport,INU
Nouméa,La Tontouta International Airport,NOU
Auckland,Auckland Airport,AKL
Christchurch,Christchurch International Airport,CHC
Dunedin,Dunedin International Airport,DUD
Queenstown,Queenstown Airport,ZQN
Wellington,Wellington International Airport,WLG
Norfolk Island,Norfolk Island Airport,NLK
Rota Island,Rota International Airport,ROP
Saipan Island,Saipan International Airport,SPN
Tinian Island,Tinian International Airport,TIQ
Alofi,Niue International Airport,IUE
Koror,Roman Tmetuchl International Airport,ROR
Port Moresby,Jacksons International Airport,POM
Apia,Faleolo International Airport,APW
Honiara,Honiara International Airport,HIR
Nukuʻalofa,Fuaʻamotu International Airport,TBU
Vavaʻu,Vava'u International Airport,VAV
Funafuti,Funafuti International Airport,FUN
Luganville,Santo-Pekoa International Airport,SON
Port Vila,Bauerfield International Airport,VLI
Futuna,Pointe Vele Airport,FUT
Wallis,Hihifo Airport,WLS
